Vivado Simulator 2020.2
Time resolution is 1 ps
t=0 rst=0 clk=0 | wr_en=0 wr_addr=0 wr_data=0000 | rd0=0:xxxx rd1=0:xxxx | S1=0 S2=0 imm=0000 ALUOp=0000 | in1=xxxx in2=xxxx out=xxxx ovf=x br=0
t=200000 rst=1 clk=0 | wr_en=0 wr_addr=3 wr_data=000d | rd0=1:0000 rd1=3:0000 | S1=1 S2=1 imm=000c ALUOp=0000 | in1=0000 in2=000c out=000c ovf=0 br=0
t=210000 rst=1 clk=1 | wr_en=0 wr_addr=3 wr_data=000d | rd0=1:0000 rd1=3:0000 | S1=1 S2=1 imm=000c ALUOp=0000 | in1=0000 in2=000c out=000c ovf=0 br=0
t=220000 rst=1 clk=0 | wr_en=1 wr_addr=2 wr_data=000c | rd0=1:0000 rd1=3:0000 | S1=1 S2=1 imm=000c ALUOp=0000 | in1=0000 in2=000c out=000c ovf=0 br=0
t=230000 rst=1 clk=1 | wr_en=1 wr_addr=2 wr_data=000c | rd0=1:0000 rd1=3:0000 | S1=1 S2=1 imm=000c ALUOp=0000 | in1=0000 in2=000c out=000c ovf=0 br=0
t=231000 rst=1 clk=1 | wr_en=0 wr_addr=2 wr_data=000c | rd0=1:0000 rd1=3:0000 | S1=1 S2=1 imm=0011 ALUOp=0000 | in1=0000 in2=0011 out=0011 ovf=0 br=0
t=240000 rst=1 clk=0 | wr_en=0 wr_addr=2 wr_data=000c | rd0=1:0000 rd1=3:0000 | S1=1 S2=1 imm=0011 ALUOp=0000 | in1=0000 in2=0011 out=0011 ovf=0 br=0
t=250000 rst=1 clk=1 | wr_en=0 wr_addr=2 wr_data=000c | rd0=1:0000 rd1=3:0000 | S1=1 S2=1 imm=0011 ALUOp=0000 | in1=0000 in2=0011 out=0011 ovf=0 br=0
t=260000 rst=1 clk=0 | wr_en=1 wr_addr=3 wr_data=0011 | rd0=1:0000 rd1=3:0000 | S1=1 S2=1 imm=0011 ALUOp=0000 | in1=0000 in2=0011 out=0011 ovf=0 br=0
t=270000 rst=1 clk=1 | wr_en=1 wr_addr=3 wr_data=0011 | rd0=1:0000 rd1=3:0000 | S1=1 S2=1 imm=0011 ALUOp=0000 | in1=0000 in2=0011 out=0011 ovf=0 br=0
t=271000 rst=1 clk=1 | wr_en=0 wr_addr=3 wr_data=0011 | rd0=2:0000 rd1=3:0000 | S1=0 S2=0 imm=0011 ALUOp=0000 | in1=0000 in2=0000 out=0000 ovf=0 br=0
t=280000 rst=1 clk=0 | wr_en=0 wr_addr=3 wr_data=0011 | rd0=2:0000 rd1=3:0000 | S1=0 S2=0 imm=0011 ALUOp=0000 | in1=0000 in2=0000 out=0000 ovf=0 br=0
t=290000 rst=1 clk=1 | wr_en=0 wr_addr=3 wr_data=0011 | rd0=2:0000 rd1=3:0000 | S1=0 S2=0 imm=0011 ALUOp=0000 | in1=0000 in2=0000 out=0000 ovf=0 br=0
t=292000 rst=1 clk=1 | wr_en=0 wr_addr=3 wr_data=0011 | rd0=2:0000 rd1=3:0000 | S1=0 S2=0 imm=0011 ALUOp=0010 | in1=0000 in2=0000 out=0000 ovf=0 br=0
